Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kristine Anigwe,LAS,F-C,17,197,17,1,11.6,1.9,3.1,0.604,0,0,,1.9,3.1,0.604,0.8,1.5,0.538,1.1,2.6,0.2,0.6,0.4,0.9,1.9,4.6
Ariel Atkins,WAS,G,22,682,22,22,31,5,11.4,0.438,2,4.9,0.411,3,6.5,0.458,2.8,3.2,0.886,0.8,2.9,2.4,1.8,0.2,1.9,2.6,14.8
Seimone Augustus,LAS,G-F,21,332,21,0,15.8,2.6,5.2,0.491,0.6,1,0.545,2,4.2,0.477,0.2,0.3,0.667,0.1,1.8,1.2,0.6,0.1,0.4,1,5.9
Rachel Banham,MIN,G,20,339,20,1,17,2.4,5.2,0.462,1.3,2.7,0.472,1.2,2.6,0.451,0.8,1,0.8,0.1,1.3,2.4,0.5,0.1,1,2,6.9
Monique Billings,ATL,F,22,596,22,16,27.1,3.1,7.7,0.4,0,0,,3.1,7.7,0.4,2.3,3,0.761,2.6,8.5,1.2,1.1,0.8,1.9,2.8,8.5
Sue Bird,SEA,G,11,257,11,11,23.4,3.7,7.5,0.494,2.1,4.5,0.469,1.6,3.1,0.529,0.3,0.4,0.75,0.1,1.7,5.2,0.6,0.2,1.6,0.8,9.8
DeWanna Bonner,CON,F-G,22,732,22,22,33.3,6.7,16,0.422,1.2,4.9,0.252,5.5,11.1,0.496,5,5.6,0.895,1.5,7.8,3,1.7,0.5,2.4,2.1,19.7
Brittany Brewer,ATL,F,5,33,5,0,6.6,0.4,0.6,0.667,0,0,,0.4,0.6,0.667,0,0,,0.2,1,0,0.6,0.8,0.4,0.8,0.8
Kalani Brown,ATL,C,10,61,10,0,6.1,1.2,2.3,0.522,0,0,,1.2,2.3,0.522,0.6,1,0.6,0.3,1.2,0,0.1,0.1,0.5,1,3
Lexie Brown,MIN,G,17,374,17,13,22,2.2,6.5,0.342,0.8,3.1,0.269,1.4,3.5,0.407,1.1,1.4,0.792,0.2,1.9,2.4,1.8,0,1.4,1.5,6.4
Cierra Burdick,LVA,F,13,28,13,0,2.2,0.2,0.5,0.286,0,0,,0.2,0.5,0.286,0,0,,0.1,0.4,0.2,0,0,0.1,0.2,0.3
Kennedy Burke,IND,G-F,22,403,22,11,18.3,2.6,5.8,0.449,0.7,2.2,0.313,1.9,3.6,0.532,1.4,1.9,0.714,0.9,1.8,1.1,0.6,0.4,1.2,1.1,7.2
